#cfo preamble_symbols=7 cfo_int=0 cfo_frac=1.09543e-08 sfo_slope=0
#index best_bin second_bin corrected_bin best_mag second_mag delta
0 1023 0 0 424973 424972 0.499998
1 1023 0 0 424973 424972 0.499998
2 1023 0 0 424972 424972 0.499999
3 1023 0 0 424972 424972 0.5
4 1023 0 0 424972 424972 0.5
5 1023 0 0 424972 424972 0.5
6 8 7 8 424949 424882 -0.499824
7 15 16 15 425003 424942 0.499839
8 992 31 992 1687.77 1680 -0.0409336
9 992 31 992 1683.93 1683.86 -0.040883
10 402 399 402 176096 173219 -0.415308
11 121 120 121 262777 261628 -0.495251
12 801 800 801 363013 361084 -0.494615
13 331 334 331 166066 165466 0.491284
14 240 241 240 193450 192013 0.483454
15 1021 1020 1021 362690 361187 -0.495797
16 821 820 821 365216 359312 -0.48379
17 1020 1021 1020 365558 360539 0.486185
18 935 934 935 360343 359925 -0.49882
19 224 225 224 200556 200256 0.497122
20 909 908 909 363000 361087 -0.494659
21 588 587 588 221941 221932 -0.499942
22 361 364 361 173394 173310 0.437217
23 478 477 478 174488 172763 -0.446906
24 764 763 764 358872 357694 -0.496677
25 129 130 129 255811 255749 0.499729
26 657 656 657 269711 268607 -0.495647
27 162 163 162 233912 233528 0.497935
28 983 982 983 362549 361256 -0.496381
29 413 416 413 173145 171686 0.435229
30 569 568 569 212622 210160 -0.48222
31 472 473 472 174964 172953 0.436909
32 272 273 272 180622 180446 0.496373
33 232 233 232 198197 194226 0.461189
34 772 771 772 363151 361858 -0.496385
35 771 772 772 424977 424967 0.499972
36 768 767 768 368635 366357 -0.493446
37 0 1023 0 363385 361818 -0.495625
38 256 255 256 186826 185027 -0.473998
39 960 959 960 362941 361100 -0.494857
40 863 864 863 363279 362154 0.496849
41 784 783 784 372081 353598 -0.451702
42 784 783 784 48780.3 48780.1 -0.499983
43 989 765 989 5.71965e-07 5.36508e-07 -0.0347023
44 7 841 7 6.68984e-07 6.15142e-07 -0.0164029
45 976 44 976 7.0038e-07 6.97076e-07 0
46 881 333 881 8.75015e-07 8.28358e-07 0.00275727
47 348 477 348 6.19466e-07 5.91533e-07 0.0139108
48 377 371 377 6.71886e-07 5.96505e-07 0.0032227
49 1005 150 1005 9.86807e-07 5.87181e-07 -0.0884228
50 846 417 846 7.51481e-07 6.32452e-07 -0.032705
51 26 670 26 8.52097e-07 7.82923e-07 0.017201
52 672 145 672 1.16853e-06 8.171e-07 0.0237032
53 205 245 205 6.12604e-07 5.72566e-07 0
54 280 651 280 1.18324e-06 6.72937e-07 0.103964
55 13 708 13 6.31277e-07 5.85996e-07 -0.00820917
56 570 382 570 7.5493e-07 6.38554e-07 -0.0290989
57 817 274 817 7.59596e-07 6.08805e-07 -0.00541905
58 720 878 720 6.84639e-07 6.28596e-07 0.00421249
59 931 160 931 6.99686e-07 6.21478e-07 -0.0124688
60 517 18 517 5.61938e-07 5.50656e-07 0
61 231 838 231 8.32708e-07 7.50492e-07 -0.0276061
62 767 768 768 362278 362272 0.499981
63 767 768 768 424978 424967 0.499971
64 767 768 768 424977 424967 0.499972
65 767 768 768 424978 424967 0.499971
66 767 768 768 424977 424967 0.499974
67 767 768 768 424977 424967 0.499973
68 767 768 768 424977 424967 0.499974
69 767 768 768 424977 424967 0.499973
70 775 776 775 362988 362976 0.499967
71 783 784 783 374135 366274 0.478739
72 784 783 784 56342.1 52201.5 -0.379567
73 736 799 736 1683.89 1683.81 -0.0408857
74 146 143 146 104161 90147.7 -0.153992
75 144 145 144 214060 213070 0.494837
76 545 544 545 213237 211694 -0.491937
77 545 544 545 172915 172580 -0.497499
78 76 77 76 213960 213583 0.498031
79 765 764 765 213313 210502 -0.485352
80 565 564 565 214515 210258 -0.478209
81 764 765 764 214662 211592 0.484188
82 679 678 679 214815 210247 -0.476567
83 993 992 993 212517 212486 -0.499836
84 653 652 653 213229 212407 -0.495683
85 333 330 333 121859 121351 -0.0521476
86 332 331 332 214566 212805 -0.490894
87 107 106 107 216548 211237 -0.473376
88 221 222 221 213573 212996 0.496974
89 507 898 507 213507 212676 0.493641
90 899 896 899 95561.8 95501.1 -0.372582
91 400 401 400 213826 212523 0.493196
92 727 726 727 214334 210154 -0.478521
93 728 725 728 133470 132170 0.00836119
94 158 159 158 213061 211746 0.493133
95 312 313 312 216687 209063 0.462044
96 216 217 216 214851 212314 0.486909
97 16 17 16 213915 213724 0.499001
