path,backend,cfo_initial_hz,cfo_final_hz,sample_rate_ratio_initial,sample_rate_ratio_used,sample_rate_error_ppm,chunk_count,chunk_time_avg_us,chunk_time_max_us
/home/aquay/lora-lite-phy/golden_vectors/custom/tx_sf7_bw125000_cr3_crc1_impl0_ldro0_criminal.cf32,cpp_stream,-975.973348735,-225.973348735,1.0,0.99995,-50.0,12,3510.852833333,17570.014
/home/aquay/lora-lite-phy/golden_vectors/custom/tx_sf8_bw125000_cr4_crc1_impl0_ldro0_pay44.cf32,cpp_stream,-488.28125,-238.28125,1.0,1.0,0.0,8,1719.85225,5078.32
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf10_bw125000_cr3_crc1_impl0_ldro0_pay19.cf32,cpp_stream,-122.0703125,-61.03515625,1.0,1.0,0.0,49,270281.265836735,13043691.551
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf10_bw125000_cr3_crc1_impl0_ldro1_pay19.cf32,cpp_stream,-122.0703125,-61.03515625,1.0,1.0,0.0,56,3632.316482143,33696.75
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf10_bw125000_cr3_crc1_impl0_ldro2_pay19.cf32,cpp_stream,-122.0703125,-61.03515625,1.0,1.0,0.0,49,262311.732857143,12650613.284
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf10_bw125000_cr4_crc1_impl0_ldro0_pay19.cf32,cpp_stream,-122.0703125,-61.03515625,1.0,1.0,0.0,53,278268.685981132,14551349.599
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf10_bw125000_cr4_crc1_impl0_ldro1_pay19.cf32,cpp_stream,-122.0703125,-61.03515625,1.0,1.0,0.0,61,3360.345360656,33443.336
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf10_bw125000_cr4_crc1_impl0_ldro2_pay19.cf32,cpp_stream,-122.0703125,-61.03515625,1.0,1.0,0.0,53,276973.069962264,14488092.325
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf11_bw125000_cr3_crc1_impl0_ldro0_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,97,6606.534886598,62817.354
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf11_bw125000_cr3_crc1_impl0_ldro1_pay19.cf32,cpp_stream,-61.03515625,-31.03515625,1.0,1.0,0.0,111,5977.481045045,63519.733
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf11_bw125000_cr3_crc1_impl0_ldro2_pay19.cf32,cpp_stream,-61.03515625,-31.03515625,1.0,1.0,0.0,111,6080.466144144,66398.279
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf11_bw125000_cr4_crc1_impl0_ldro0_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,105,5989.587980952,62473.744
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf11_bw125000_cr4_crc1_impl0_ldro1_pay19.cf32,cpp_stream,-61.03515625,-31.03515625,1.0,1.0,0.0,121,6616.39992562,77636.767
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf11_bw125000_cr4_crc1_impl0_ldro2_pay19.cf32,cpp_stream,-61.03515625,-31.03515625,1.0,1.0,0.0,121,5418.985305785,63173.337
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf12_bw125000_cr3_crc1_impl0_ldro0_pay19.cf32,cpp_stream,-30.517578125,-20.517578125,1.0,1.0,0.0,194,281652.922675258,52197226.464
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf12_bw125000_cr3_crc1_impl0_ldro1_pay19.cf32,cpp_stream,-30.517578125,-20.517578125,1.0,1.0,0.0,194,11900.272324742,124420.457
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf12_bw125000_cr3_crc1_impl0_ldro2_pay19.cf32,cpp_stream,-30.517578125,-20.517578125,1.0,1.0,0.0,194,11335.813896907,134486.435
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf12_bw125000_cr4_crc1_impl0_ldro0_pay19.cf32,cpp_stream,,,,,,,,
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf12_bw125000_cr4_crc1_impl0_ldro1_pay19.cf32,cpp_stream,-30.517578125,-10.517578125,1.0,1.0,0.0,210,15766.503619048,187433.032
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf12_bw125000_cr4_crc1_impl0_ldro2_pay19.cf32,cpp_stream,-30.517578125,-10.517578125,1.0,1.0,0.0,210,13187.963609524,137582.959
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf9_bw125000_cr3_crc1_impl0_ldro0_pay19.cf32,cpp_stream,-244.140625,-213.623046875,1.0,0.99995,-50.0,28,4021.166928571,37676.755
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf9_bw125000_cr3_crc1_impl0_ldro1_pay19.cf32,cpp_stream,-244.140625,-122.0703125,1.0,1.0,0.0,32,2619.8481875,20344.628
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf9_bw125000_cr3_crc1_impl0_ldro2_pay19.cf32,cpp_stream,-244.140625,-213.623046875,1.0,0.99995,-50.0,28,3752.386428571,34694.209
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf9_bw125000_cr4_crc1_impl0_ldro0_pay19.cf32,cpp_stream,-244.140625,-228.881835938,1.0,0.99995,-50.0,31,3704.787322581,44834.666
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf9_bw125000_cr4_crc1_impl0_ldro1_pay19.cf32,cpp_stream,-244.140625,-122.0703125,1.0,1.0,0.0,35,2420.834485714,18061.927
/home/aquay/lora-lite-phy/golden_vectors/extended_batch/tx_sf9_bw125000_cr4_crc1_impl0_ldro2_pay19.cf32,cpp_stream,-244.140625,-228.881835938,1.0,0.99995,-50.0,31,3678.615032258,44293.184
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf10_bw125000_cr3_crc0_impl0_ldro0_pay19.cf32,cpp_stream,-122.0703125,-61.03515625,1.0,1.0,0.0,49,4416.252142857,35374.038
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf10_bw125000_cr3_crc0_impl0_ldro1_pay19.cf32,cpp_stream,-122.0703125,-61.03515625,1.0,1.0,0.0,56,3962.572464286,35081.421
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf10_bw125000_cr3_crc0_impl0_ldro2_pay19.cf32,cpp_stream,-122.0703125,-61.03515625,1.0,1.0,0.0,49,4163.90355102,31510.932
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf10_bw125000_cr4_crc0_impl0_ldro0_pay19.cf32,cpp_stream,-122.0703125,-61.03515625,1.0,1.0,0.0,53,3831.350849057,33655.296
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf10_bw125000_cr4_crc0_impl0_ldro1_pay19.cf32,cpp_stream,-122.0703125,-61.03515625,1.0,1.0,0.0,61,3395.918409836,35465.042
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf10_bw125000_cr4_crc0_impl0_ldro2_pay19.cf32,cpp_stream,-122.0703125,-61.03515625,1.0,1.0,0.0,53,3900.67754717,35117.45
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf11_bw125000_cr3_crc0_impl0_ldro0_pay19.cf32,cpp_stream,-61.03515625,-31.03515625,1.0,1.0,0.0,97,6803.18171134,63178.24
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf11_bw125000_cr3_crc0_impl0_ldro1_pay19.cf32,cpp_stream,-61.03515625,-31.03515625,1.0,1.0,0.0,97,7704.059649485,91546.738
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf11_bw125000_cr3_crc0_impl0_ldro2_pay19.cf32,cpp_stream,-61.03515625,-31.03515625,1.0,1.0,0.0,97,7025.794350515,64432.484
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf11_bw125000_cr4_crc0_impl0_ldro0_pay19.cf32,cpp_stream,-61.03515625,-61.03515625,1.0,1.0,0.0,105,6219.25492381,64111.791
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf11_bw125000_cr4_crc0_impl0_ldro1_pay19.cf32,cpp_stream,-61.03515625,-61.03515625,1.0,1.0,0.0,105,6371.820933333,68265.419
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf11_bw125000_cr4_crc0_impl0_ldro2_pay19.cf32,cpp_stream,-61.03515625,-61.03515625,1.0,1.0,0.0,105,6256.365295238,65551.007
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf12_bw125000_cr3_crc0_impl0_ldro0_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,166,16111.620048193,128545.69
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf12_bw125000_cr3_crc0_impl0_ldro1_pay19.cf32,cpp_stream,-30.517578125,-10.517578125,1.0,1.0,0.0,194,14751.509242268,219589.107
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf12_bw125000_cr3_crc0_impl0_ldro2_pay19.cf32,cpp_stream,-30.517578125,-10.517578125,1.0,1.0,0.0,194,12381.439938144,131512.607
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf12_bw125000_cr4_crc0_impl0_ldro0_pay19.cf32,cpp_stream,0.0,0.0,1.0,1.0,0.0,178,13589.682932584,138651.939
/home/aquay/lora-lite-phy/golden_vectors/extended_batch_crc_off/tx_sf12_bw125000_cr4_crc0_impl0_ldro1_pay19.cf32,cpp_stream,-30.517578125,-10.517578125,1.0,1.0,0.0,210,11388.233790476,133592.412
