#index raw norm_full norm_ldro gray_ldro
0 89 88 22 29
1 13 12 3 2
2 29 28 7 4
3 13 12 3 2
4 113 112 28 18
5 29 28 7 4
6 97 96 24 20
7 41 40 10 15
8 110 109 27 22
9 2 1 0 0
10 88 87 21 31
11 121 120 30 17
12 96 95 23 28
13 19 18 4 6
14 63 62 15 8
15 114 113 28 18
16 16 15 3 2
17 83 82 20 30
18 22 21 5 7
19 89 88 22 29
20 47 46 11 14
21 108 107 26 23
22 37 36 9 13
23 73 72 18 27
24 98 97 24 20
25 27 26 6 5
26 97 96 24 20
27 34 33 8 12
28 113 112 28 18
29 103 102 25 21
30 90 89 22 29
31 81 80 20 30
32 22 21 5 7
33 2 1 0 0
34 0 127 31 16
35 1 0 0 0
36 32 31 7 4
37 16 15 3 2
38 6 5 1 1
39 64 63 15 8
40 11 10 2 3
41 74 73 18 27
42 100 99 24 20
43 65 64 16 24
44 114 113 28 18
45 79 78 19 26
46 4 3 0 0
47 60 59 14 9
48 123 122 30 17
49 112 111 27 22
50 40 39 9 13
51 38 37 9 13
52 30 29 7 4
53 15 14 3 2
54 66 65 16 24
55 75 74 18 27
56 70 69 17 25
57 26 25 6 5
58 0 127 31 16
59 0 127 31 16
60 0 127 31 16
61 0 127 31 16
62 0 127 31 16
63 0 127 31 16
64 0 127 31 16
65 0 127 31 16
66 8 7 1 1
67 16 15 3 2
68 92 91 22 29
69 122 121 30 17
70 57 56 14 9
71 109 108 27 22
72 125 124 31 16
73 109 108 27 22
74 81 80 20 30
75 125 124 31 16
76 65 64 16 24
77 9 8 2 3
78 78 77 19 26
79 98 97 24 20
80 56 55 13 11
81 89 88 22 29
82 64 63 15 8
83 115 114 28 18
84 31 30 7 4
85 82 81 20 30
86 112 111 27 22
87 51 50 12 10
88 118 117 29 19
89 57 56 14 9
90 15 14 3 2
91 76 75 18 27
92 5 4 1 1
93 41 40 10 15
94 66 65 16 24
95 123 122 30 17
96 65 64 16 24
97 2 1 0 0
98 81 80 20 30
99 71 70 17 25
100 58 57 14 9
101 49 48 12 10
102 118 117 29 19
103 98 97 24 20
104 96 95 23 28
105 97 96 24 20
106 0 127 31 16
107 112 111 27 22
108 112 111 27 22
109 92 91 22 29
110 60 59 14 9
111 87 86 21 31
112 30 29 7 4
113 5 4 1 1
114 20 19 4 6
115 46 45 11 14
116 107 106 26 23
117 87 86 21 31
118 86 85 21 31
119 33 32 8 12
120 110 109 27 22
121 74 73 18 27
122 28 27 6 5
123 95 94 23 28
124 8 7 1 1
125 91 90 22 29
126 6 5 1 1
127 108 107 26 23
128 95 94 23 28
129 96 95 23 28
130 96 95 23 28
131 96 95 23 28
132 96 95 23 28
133 96 95 23 28
134 96 95 23 28
135 96 95 23 28
136 104 103 25 21
137 112 111 27 22
138 112 111 27 22
139 126 125 31 16
140 25 24 6 5
141 77 76 19 26
142 92 91 22 29
143 76 75 18 27
144 77 76 19 26
145 49 48 12 10
146 33 32 8 12
147 33 32 8 12
148 46 45 11 14
149 46 45 11 14
150 24 23 5 7
151 24 23 5 7
152 56 55 13 11
153 83 82 20 30
154 127 126 31 16
155 126 125 31 16
156 50 49 12 10
157 9 8 2 3
158 19 18 4 6
159 26 25 6 5
160 25 24 6 5
161 111 110 27 22
162 44 43 10 15
163 9 8 2 3
164 35 34 8 12
165 91 90 22 29
166 34 33 8 12
167 98 97 24 20
168 98 97 24 20
169 40 39 9 13
170 26 25 6 5
171 18 17 4 6
172 85 84 21 31
173 66 65 16 24
174 65 64 16 24
175 65 64 16 24
176 96 95 23 28
177 97 96 24 20
178 79 78 19 26
179 91 90 22 29
180 32 31 7 4
181 55 54 13 11
182 99 98 24 20
183 57 56 14 9
184 37 36 9 13
185 55 54 13 11
186 3 2 0 0
187 105 104 26 23
188 23 22 5 7
189 43 42 10 15
190 59 58 14 9
191 37 36 9 13
192 40 39 9 13
193 83 82 20 30
194 80 79 19 26
195 96 95 23 28
196 83 82 20 30
197 10 9 2 3
198 119 118 29 19
199 64 63 15 8
200 64 63 15 8
201 64 63 15 8
202 64 63 15 8
203 64 63 15 8
204 64 63 15 8
205 64 63 15 8
206 72 71 17 25
207 79 78 19 26
208 80 79 19 26
209 108 107 26 23
210 80 79 19 26
211 121 120 30 17
212 45 44 11 14
213 61 60 15 8
214 45 44 11 14
215 17 16 4 6
216 61 60 15 8
217 1 0 0 0
218 73 72 18 27
219 14 13 3 2
220 34 33 8 12
221 120 119 29 19
222 24 23 5 7
223 0 127 31 16
224 51 50 12 10
225 95 94 23 28
226 18 17 4 6
227 48 47 11 14
228 115 114 28 18
229 54 53 13 11
230 121 120 30 17
231 79 78 19 26
232 12 11 2 3
233 69 68 17 25
234 105 104 26 23
235 2 1 0 0
236 59 58 14 9
237 1 0 0 0
238 66 65 16 24
239 17 16 4 6
240 7 6 1 1
241 122 121 30 17
242 113 112 28 18
243 54 53 13 11
244 34 33 8 12
245 32 31 7 4
246 33 32 8 12
247 64 63 15 8
248 48 47 11 14
249 3 2 0 0
250 44 43 10 15
251 5 4 1 1
252 37 36 9 13
253 99 98 24 20
254 48 47 11 14
255 109 108 27 22
256 115 114 28 18
257 29 28 7 4
258 55 54 13 11
259 1 0 0 0
260 65 64 16 24
261 96 95 23 28
262 16 15 3 2
263 95 94 23 28
264 35 34 8 12
265 108 107 26 23
266 10 9 2 3
267 14 13 3 2
268 76 75 18 27
269 32 31 7 4
270 32 31 7 4
271 32 31 7 4
272 32 31 7 4
273 32 31 7 4
274 32 31 7 4
275 32 31 7 4
276 32 31 7 4
277 40 39 9 13
278 48 47 11 14
279 116 115 28 18
280 74 73 18 27
281 89 88 22 29
282 13 12 3 2
283 29 28 7 4
284 13 12 3 2
285 113 112 28 18
286 29 28 7 4
287 97 96 24 20
288 41 40 10 15
289 110 109 27 22
290 2 1 0 0
291 88 87 21 31
292 121 120 30 17
293 96 95 23 28
294 19 18 4 6
295 63 62 15 8
296 114 113 28 18
297 16 15 3 2
298 83 82 20 30
299 22 21 5 7
300 89 88 22 29
301 47 46 11 14
302 108 107 26 23
303 37 36 9 13
304 73 72 18 27
305 98 97 24 20
306 27 26 6 5
307 97 96 24 20
308 34 33 8 12
309 113 112 28 18
310 103 102 25 21
311 90 89 22 29
312 81 80 20 30
313 22 21 5 7
314 2 1 0 0
315 0 127 31 16
316 1 0 0 0
317 32 31 7 4
318 16 15 3 2
319 73 72 18 27
320 103 102 25 21
321 70 69 17 25
322 24 23 5 7
323 31 30 7 4
324 42 41 10 15
325 122 121 30 17
326 48 47 11 14
327 40 39 9 13
328 61 60 15 8
329 32 31 7 4
330 74 73 18 27
331 38 37 9 13
332 42 41 10 15
333 22 21 5 7
334 46 45 11 14
335 79 78 19 26
336 85 84 21 31
337 4 3 0 0
338 109 108 27 22
339 0 127 31 16
340 0 127 31 16
341 0 127 31 16
342 0 127 31 16
343 0 127 31 16
344 0 127 31 16
345 0 127 31 16
346 0 127 31 16
347 8 7 1 1
348 16 15 3 2
349 111 110 27 22
350 36 35 8 12
351 58 57 14 9
352 109 108 27 22
353 125 124 31 16
354 109 108 27 22
355 81 80 20 30
356 125 124 31 16
357 65 64 16 24
358 9 8 2 3
359 78 77 19 26
360 98 97 24 20
361 56 55 13 11
362 89 88 22 29
363 64 63 15 8
364 63 62 15 8
365 31 30 7 4
366 82 81 20 30
367 112 111 27 22
368 51 50 12 10
369 118 117 29 19
370 57 56 14 9
371 15 14 3 2
372 76 75 18 27
373 5 4 1 1
374 42 41 10 15
375 66 65 16 24
376 123 122 30 17
377 65 64 16 24
378 2 1 0 0
379 81 80 20 30
380 71 70 17 25
381 58 57 14 9
382 49 48 12 10
383 118 117 29 19
384 98 97 24 20
385 95 94 23 28
386 97 96 24 20
387 0 127 31 16
388 112 111 27 22
389 71 70 17 25
390 1 0 0 0
391 44 43 10 15
392 75 74 18 27
393 68 67 16 24
394 81 80 20 30
395 33 32 8 12
396 34 33 8 12
397 44 43 10 15
398 75 74 18 27
399 5 4 1 1
400 17 16 4 6
401 25 24 6 5
402 90 89 22 29
403 86 85 21 31
404 29 28 7 4
405 124 123 30 17
406 120 119 29 19
407 50 49 12 10
408 77 76 19 26
409 96 95 23 28
410 96 95 23 28
411 96 95 23 28
412 96 95 23 28
413 96 95 23 28
414 96 95 23 28
415 96 95 23 28
416 96 95 23 28
417 104 103 25 21
418 112 111 27 22
419 111 110 27 22
420 22 21 5 7
421 25 24 6 5
422 76 75 18 27
423 77 76 19 26
424 93 92 23 28
425 77 76 19 26
426 49 48 12 10
427 33 32 8 12
428 33 32 8 12
429 46 45 11 14
430 46 45 11 14
431 65 64 16 24
432 24 23 5 7
433 57 56 14 9
434 32 31 7 4
435 83 82 20 30
436 127 126 31 16
437 50 49 12 10
438 19 18 4 6
439 86 85 21 31
440 26 25 6 5
441 24 23 5 7
442 45 44 11 14
443 100 99 24 20
444 102 101 25 21
445 35 34 8 12
446 91 90 22 29
447 92 91 22 29
448 32 31 7 4
449 50 49 12 10
450 49 48 12 10
451 39 38 9 13
452 17 16 4 6
453 85 84 21 31
454 87 86 21 31
455 65 64 16 24
456 65 64 16 24
457 96 95 23 28
458 96 95 23 28
459 80 79 19 26
460 118 117 29 19
461 75 74 18 27
462 56 55 13 11
463 101 100 25 21
464 37 36 9 13
465 29 28 7 4
466 88 87 21 31
467 126 125 31 16
468 88 87 21 31
469 70 69 17 25
470 2 1 0 0
471 30 29 7 4
472 14 13 3 2
473 11 10 2 3
474 2 1 0 0
475 63 62 15 8
476 6 5 1 1
477 77 76 19 26
478 111 110 27 22
479 64 63 15 8
480 64 63 15 8
481 64 63 15 8
482 64 63 15 8
483 64 63 15 8
484 64 63 15 8
485 64 63 15 8
486 64 63 15 8
487 63 62 15 8
488 79 78 19 26
489 80 79 19 26
490 108 107 26 23
491 24 23 5 7
492 121 120 30 17
493 45 44 11 14
494 61 60 15 8
495 45 44 11 14
496 17 16 4 6
497 61 60 15 8
498 1 0 0 0
499 73 72 18 27
500 14 13 3 2
501 34 33 8 12
502 120 119 29 19
503 25 24 6 5
504 0 127 31 16
505 51 50 12 10
506 95 94 23 28
507 18 17 4 6
508 48 47 11 14
509 115 114 28 18
510 54 53 13 11
511 121 120 30 17
512 79 78 19 26
513 11 10 2 3
514 69 68 17 25
515 105 104 26 23
516 2 1 0 0
517 59 58 14 9
518 1 0 0 0
519 66 65 16 24
520 17 16 4 6
521 7 6 1 1
522 122 121 30 17
523 113 112 28 18
524 54 53 13 11
525 34 33 8 12
526 32 31 7 4
527 33 32 8 12
528 64 63 15 8
529 48 47 11 14
530 112 111 27 22
531 13 12 3 2
532 43 42 10 15
533 12 11 2 3
534 61 60 15 8
535 95 94 23 28
536 103 102 25 21
537 109 108 27 22
538 96 95 23 28
539 74 73 18 27
540 62 61 15 8
541 48 47 11 14
542 50 49 12 10
543 86 85 21 31
544 9 8 2 3
545 83 82 20 30
546 99 98 24 20
547 72 71 17 25
548 38 37 9 13
549 21 20 5 7
550 32 31 7 4
551 32 31 7 4
552 32 31 7 4
553 32 31 7 4
554 32 31 7 4
555 32 31 7 4
556 32 31 7 4
557 32 31 7 4
558 39 38 9 13
559 48 47 11 14
560 22 21 5 7
561 10 9 2 3
562 89 88 22 29
563 13 12 3 2
564 29 28 7 4
565 13 12 3 2
566 113 112 28 18
567 29 28 7 4
568 97 96 24 20
569 41 40 10 15
570 110 109 27 22
571 2 1 0 0
572 88 87 21 31
573 121 120 30 17
574 96 95 23 28
575 19 18 4 6
576 63 62 15 8
577 114 113 28 18
578 16 15 3 2
579 83 82 20 30
580 22 21 5 7
581 89 88 22 29
582 47 46 11 14
583 108 107 26 23
584 37 36 9 13
585 73 72 18 27
586 98 97 24 20
587 27 26 6 5
588 97 96 24 20
589 34 33 8 12
590 113 112 28 18
591 103 102 25 21
592 90 89 22 29
593 81 80 20 30
594 22 21 5 7
595 2 1 0 0
596 0 127 31 16
597 1 0 0 0
598 32 31 7 4
599 16 15 3 2
600 30 29 7 4
601 101 100 25 21
602 42 41 10 15
603 70 69 17 25
604 13 12 3 2
605 120 119 29 19
606 104 103 25 21
607 111 110 27 22
608 95 94 23 28
609 87 86 21 31
610 87 86 21 31
611 54 53 13 11
612 45 44 11 14
613 118 117 29 19
614 44 43 10 15
615 23 22 5 7
616 30 29 7 4
617 37 36 9 13
618 64 63 15 8
619 104 103 25 21
620 0 127 31 16
621 0 127 31 16
622 0 127 31 16
623 0 127 31 16
624 0 127 31 16
625 0 127 31 16
626 0 127 31 16
627 0 127 31 16
628 8 7 1 1
629 16 15 3 2
630 118 117 29 19
631 98 97 24 20
632 57 56 14 9
633 109 108 27 22
634 125 124 31 16
635 109 108 27 22
636 81 80 20 30
637 125 124 31 16
638 65 64 16 24
639 9 8 2 3
640 78 77 19 26
641 98 97 24 20
642 56 55 13 11
643 89 88 22 29
644 64 63 15 8
645 115 114 28 18
646 31 30 7 4
647 82 81 20 30
648 112 111 27 22
649 51 50 12 10
650 118 117 29 19
651 57 56 14 9
652 15 14 3 2
653 76 75 18 27
654 5 4 1 1
655 41 40 10 15
656 66 65 16 24
657 123 122 30 17
658 65 64 16 24
659 2 1 0 0
660 81 80 20 30
661 71 70 17 25
662 58 57 14 9
663 49 48 12 10
664 118 117 29 19
665 97 96 24 20
666 96 95 23 28
667 97 96 24 20
668 0 127 31 16
669 112 111 27 22
670 113 112 28 18
671 109 108 27 22
672 71 70 17 25
673 102 101 25 21
674 3 2 0 0
675 96 95 23 28
676 119 118 29 19
677 107 106 26 23
678 1 0 0 0
679 53 52 13 11
680 106 105 26 23
681 4 3 0 0
682 102 101 25 21
683 126 125 31 16
684 69 68 17 25
685 87 86 21 31
686 84 83 20 30
687 54 53 13 11
688 23 22 5 7
689 113 112 28 18
690 96 95 23 28
691 96 95 23 28
692 96 95 23 28
693 96 95 23 28
694 96 95 23 28
695 96 95 23 28
696 96 95 23 28
697 96 95 23 28
698 104 103 25 21
699 112 111 27 22
700 68 67 16 24
701 124 123 30 17
702 26 25 6 5
703 76 75 18 27
704 92 91 22 29
705 77 76 19 26
706 77 76 19 26
707 93 92 23 28
708 94 93 23 28
709 104 103 25 21
710 46 45 11 14
711 65 64 16 24
712 66 65 16 24
713 23 22 5 7
714 33 32 8 12
715 83 82 20 30
716 126 125 31 16
717 127 126 31 16
718 49 48 12 10
719 18 17 4 6
720 86 85 21 31
