#index raw norm_full norm_ldro gray_ldro
0 82 81 20 30
1 23 22 5 7
2 3 2 0 0
3 1 0 0 0
4 2 1 0 0
5 33 32 8 12
6 17 16 4 6
7 4 3 0 0
8 13 12 3 2
9 105 104 26 23
10 91 90 22 29
11 68 67 16 24
12 17 16 4 6
13 78 77 19 26
14 112 111 27 22
15 57 56 14 9
16 69 68 17 25
17 98 97 24 20
18 34 33 8 12
19 65 64 16 24
20 113 112 28 18
21 64 63 15 8
22 4 3 0 0
23 77 76 19 26
24 107 106 26 23
25 111 110 27 22
26 45 44 11 14
27 1 0 0 0
28 1 0 0 0
29 1 0 0 0
30 1 0 0 0
31 1 0 0 0
32 1 0 0 0
33 1 0 0 0
34 1 0 0 0
35 9 8 2 3
36 17 16 4 6
37 85 84 21 31
38 43 42 10 15
39 58 57 14 9
40 110 109 27 22
41 126 125 31 16
42 110 109 27 22
43 82 81 20 30
44 126 125 31 16
45 66 65 16 24
46 10 9 2 3
47 78 77 19 26
48 99 98 24 20
49 57 56 14 9
50 90 89 22 29
51 65 64 16 24
52 116 115 28 18
53 32 31 7 4
54 83 82 20 30
55 113 112 28 18
56 52 51 12 10
57 119 118 29 19
58 58 57 14 9
59 16 15 3 2
60 77 76 19 26
61 6 5 1 1
62 42 41 10 15
63 67 66 16 24
64 124 123 30 17
65 66 65 16 24
66 3 2 0 0
67 82 81 20 30
68 72 71 17 25
69 59 58 14 9
70 50 49 12 10
71 119 118 29 19
72 99 98 24 20
73 97 96 24 20
74 98 97 24 20
75 1 0 0 0
76 113 112 28 18
77 105 104 26 23
78 73 72 18 27
79 39 38 9 13
80 120 119 29 19
81 0 127 31 16
82 11 10 2 3
83 91 90 22 29
84 17 16 4 6
85 9 8 2 3
86 30 29 7 4
87 1 0 0 0
88 43 42 10 15
89 47 46 11 14
90 11 10 2 3
91 72 71 17 25
92 15 14 3 2
93 48 47 11 14
94 20 19 4 6
95 101 100 25 21
96 104 103 25 21
97 97 96 24 20
98 97 96 24 20
99 97 96 24 20
100 97 96 24 20
101 97 96 24 20
102 97 96 24 20
103 97 96 24 20
104 97 96 24 20
105 105 104 26 23
106 113 112 28 18
107 117 116 29 19
108 125 124 31 16
109 27 26 6 5
110 78 77 19 26
111 94 93 23 28
112 78 77 19 26
113 50 49 12 10
114 94 93 23 28
115 34 33 8 12
116 106 105 26 23
117 47 46 11 14
118 67 66 16 24
119 25 24 6 5
120 58 57 14 9
121 33 32 8 12
122 32 31 7 4
123 0 127 31 16
124 51 50 12 10
125 81 80 20 30
126 20 19 4 6
127 87 86 21 31
128 26 25 6 5
129 112 111 27 22
130 45 44 11 14
131 102 101 25 21
132 10 9 2 3
133 35 34 8 12
134 92 91 22 29
135 34 33 8 12
136 98 97 24 20
137 50 49 12 10
138 40 39 9 13
139 27 26 6 5
140 18 17 4 6
141 87 86 21 31
142 67 66 16 24
143 64 63 15 8
144 66 65 16 24
145 97 96 24 20
146 81 80 20 30
147 40 39 9 13
148 98 97 24 20
149 127 126 31 16
150 44 43 10 15
151 54 53 13 11
152 50 49 12 10
153 2 1 0 0
154 3 2 0 0
155 13 12 3 2
156 44 43 10 15
157 102 101 25 21
158 116 115 28 18
159 93 92 23 28
160 3 2 0 0
161 87 86 21 31
162 69 68 17 25
163 101 100 25 21
164 89 88 22 29
165 19 18 4 6
166 46 45 11 14
167 65 64 16 24
168 65 64 16 24
169 65 64 16 24
170 65 64 16 24
171 65 64 16 24
172 65 64 16 24
173 65 64 16 24
174 65 64 16 24
175 73 72 18 27
176 81 80 20 30
177 80 79 19 26
178 68 67 16 24
179 122 121 30 17
180 45 44 11 14
181 46 45 11 14
182 62 61 15 8
183 46 45 11 14
184 18 17 4 6
185 2 1 0 0
186 1 0 0 0
187 15 14 3 2
188 14 13 3 2
189 34 33 8 12
190 26 25 6 5
191 26 25 6 5
192 1 0 0 0
193 52 51 12 10
194 96 95 23 28
195 19 18 4 6
196 116 115 28 18
197 55 54 13 11
198 123 122 30 17
199 121 120 30 17
200 14 13 3 2
201 69 68 17 25
202 70 69 17 25
203 4 3 0 0
204 60 59 14 9
205 127 126 31 16
206 1 0 0 0
207 68 67 16 24
208 18 17 4 6
209 7 6 1 1
210 114 113 28 18
211 54 53 13 11
212 34 33 8 12
213 34 33 8 12
214 34 33 8 12
215 65 64 16 24
216 65 64 16 24
217 49 48 12 10
218 87 86 21 31
219 46 45 11 14
220 78 77 19 26
221 70 69 17 25
222 124 123 30 17
223 126 125 31 16
224 89 88 22 29
225 113 112 28 18
226 57 56 14 9
227 87 86 21 31
228 99 98 24 20
229 1 0 0 0
230 115 114 28 18
231 38 37 9 13
232 61 60 15 8
233 32 31 7 4
234 97 96 24 20
235 46 45 11 14
236 80 79 19 26
237 33 32 8 12
