#index raw norm_full norm_ldro gray_ldro
0 89 88 22 29
1 13 12 3 2
2 29 28 7 4
3 13 12 3 2
4 113 112 28 18
5 29 28 7 4
6 97 96 24 20
7 41 40 10 15
8 110 109 27 22
9 2 1 0 0
10 88 87 21 31
11 121 120 30 17
12 96 95 23 28
13 19 18 4 6
14 63 62 15 8
15 114 113 28 18
16 16 15 3 2
17 83 82 20 30
18 22 21 5 7
19 89 88 22 29
20 47 46 11 14
21 108 107 26 23
22 37 36 9 13
23 73 72 18 27
24 98 97 24 20
25 27 26 6 5
26 97 96 24 20
27 34 33 8 12
28 113 112 28 18
29 103 102 25 21
30 90 89 22 29
31 81 80 20 30
32 22 21 5 7
33 2 1 0 0
34 0 127 31 16
35 1 0 0 0
36 32 31 7 4
37 16 15 3 2
38 44 43 10 15
39 23 22 5 7
40 102 101 25 21
41 74 73 18 27
42 122 121 30 17
43 23 22 5 7
44 8 7 1 1
45 101 100 25 21
46 82 81 20 30
47 98 97 24 20
48 107 106 26 23
49 79 78 19 26
50 27 26 6 5
51 44 43 10 15
52 59 58 14 9
53 101 100 25 21
54 108 107 26 23
55 127 126 31 16
56 56 55 13 11
57 51 50 12 10
58 0 127 31 16
59 0 127 31 16
60 0 127 31 16
61 0 127 31 16
62 0 127 31 16
63 0 127 31 16
64 0 127 31 16
65 0 127 31 16
66 8 7 1 1
67 16 15 3 2
68 73 72 18 27
69 44 43 10 15
70 57 56 14 9
71 109 108 27 22
72 125 124 31 16
73 109 108 27 22
74 81 80 20 30
75 125 124 31 16
76 65 64 16 24
77 9 8 2 3
78 78 77 19 26
79 98 97 24 20
80 56 55 13 11
81 89 88 22 29
82 64 63 15 8
83 115 114 28 18
84 31 30 7 4
85 82 81 20 30
86 112 111 27 22
87 51 50 12 10
88 118 117 29 19
89 57 56 14 9
90 15 14 3 2
91 76 75 18 27
92 5 4 1 1
93 41 40 10 15
94 66 65 16 24
95 123 122 30 17
96 65 64 16 24
97 2 1 0 0
98 81 80 20 30
99 71 70 17 25
100 58 57 14 9
101 49 48 12 10
102 118 117 29 19
103 98 97 24 20
104 96 95 23 28
105 97 96 24 20
106 0 127 31 16
107 112 111 27 22
108 110 109 27 22
109 119 118 29 19
110 79 78 19 26
111 96 95 23 28
112 4 3 0 0
113 45 44 11 14
114 74 73 18 27
115 33 32 8 12
116 6 5 1 1
117 1 0 0 0
118 45 44 11 14
119 123 122 30 17
120 44 43 10 15
121 7 6 1 1
122 24 23 5 7
123 95 94 23 28
124 102 101 25 21
125 49 48 12 10
126 78 77 19 26
127 94 93 23 28
128 96 95 23 28
129 96 95 23 28
130 96 95 23 28
131 96 95 23 28
132 96 95 23 28
133 96 95 23 28
134 96 95 23 28
135 96 95 23 28
136 104 103 25 21
137 112 111 27 22
138 111 110 27 22
139 76 75 18 27
140 26 25 6 5
141 78 77 19 26
142 93 92 23 28
143 84 83 20 30
144 77 76 19 26
145 49 48 12 10
146 33 32 8 12
147 33 32 8 12
148 105 104 26 23
149 46 45 11 14
150 66 65 16 24
151 24 23 5 7
152 32 31 7 4
153 31 30 7 4
154 127 126 31 16
155 127 126 31 16
156 80 79 19 26
157 80 79 19 26
158 19 18 4 6
159 86 85 21 31
160 111 110 27 22
161 44 43 10 15
162 43 42 10 15
163 101 100 25 21
164 9 8 2 3
165 34 33 8 12
166 91 90 22 29
167 98 97 24 20
168 99 98 24 20
169 39 38 9 13
170 39 38 9 13
171 26 25 6 5
172 17 16 4 6
173 86 85 21 31
174 65 64 16 24
175 64 63 15 8
176 96 95 23 28
177 96 95 23 28
178 81 80 20 30
179 47 46 11 14
180 33 32 8 12
181 66 65 16 24
182 65 64 16 24
183 98 97 24 20
184 115 114 28 18
185 11 10 2 3
186 8 7 1 1
187 31 30 7 4
188 10 9 2 3
189 12 11 2 3
190 98 97 24 20
191 107 106 26 23
192 89 88 22 29
193 79 78 19 26
194 123 122 30 17
195 4 3 0 0
196 121 120 30 17
197 70 69 17 25
198 64 63 15 8
199 64 63 15 8
200 64 63 15 8
201 64 63 15 8
202 64 63 15 8
203 64 63 15 8
204 64 63 15 8
205 64 63 15 8
206 72 71 17 25
207 72 71 17 25
208 79 78 19 26
209 14 13 3 2
210 122 121 30 17
211 121 120 30 17
212 45 44 11 14
213 61 60 15 8
214 45 44 11 14
215 17 16 4 6
216 61 60 15 8
217 1 0 0 0
218 73 72 18 27
219 14 13 3 2
220 34 33 8 12
221 120 119 29 19
222 25 24 6 5
223 0 127 31 16
224 51 50 12 10
225 95 94 23 28
226 18 17 4 6
227 48 47 11 14
228 115 114 28 18
229 54 53 13 11
230 121 120 30 17
231 79 78 19 26
232 12 11 2 3
233 69 68 17 25
234 105 104 26 23
235 2 1 0 0
236 59 58 14 9
237 1 0 0 0
238 66 65 16 24
239 17 16 4 6
240 7 6 1 1
241 122 121 30 17
242 113 112 28 18
243 54 53 13 11
244 34 33 8 12
245 32 31 7 4
246 33 32 8 12
247 64 63 15 8
248 48 47 11 14
249 25 24 6 5
250 112 111 27 22
251 9 8 2 3
252 56 55 13 11
253 98 97 24 20
254 12 11 2 3
255 8 7 1 1
256 0 127 31 16
257 78 77 19 26
258 59 58 14 9
259 10 9 2 3
260 57 56 14 9
261 95 94 23 28
262 95 94 23 28
263 55 54 13 11
264 87 86 21 31
265 24 23 5 7
266 88 87 21 31
267 45 44 11 14
268 100 99 24 20
269 32 31 7 4
270 32 31 7 4
271 32 31 7 4
272 32 31 7 4
273 32 31 7 4
274 32 31 7 4
275 32 31 7 4
276 32 31 7 4
277 40 39 9 13
278 48 47 11 14
279 60 59 14 9
280 48 47 11 14
281 89 88 22 29
282 13 12 3 2
283 29 28 7 4
284 13 12 3 2
285 113 112 28 18
286 29 28 7 4
287 97 96 24 20
288 41 40 10 15
289 110 109 27 22
290 2 1 0 0
291 88 87 21 31
292 121 120 30 17
293 96 95 23 28
294 19 18 4 6
295 63 62 15 8
296 114 113 28 18
297 16 15 3 2
298 83 82 20 30
299 22 21 5 7
300 89 88 22 29
301 47 46 11 14
302 108 107 26 23
303 37 36 9 13
304 73 72 18 27
305 98 97 24 20
306 27 26 6 5
307 97 96 24 20
308 34 33 8 12
309 113 112 28 18
310 103 102 25 21
311 90 89 22 29
312 81 80 20 30
313 22 21 5 7
314 2 1 0 0
315 0 127 31 16
316 1 0 0 0
317 32 31 7 4
318 16 15 3 2
319 29 28 7 4
320 112 111 27 22
321 82 81 20 30
322 5 4 1 1
323 64 63 15 8
324 30 29 7 4
325 122 121 30 17
326 86 85 21 31
327 91 90 22 29
328 27 26 6 5
329 86 85 21 31
330 93 92 23 28
331 101 100 25 21
332 3 2 0 0
333 60 59 14 9
334 95 94 23 28
335 127 126 31 16
336 15 14 3 2
337 84 83 20 30
338 67 66 16 24
339 0 127 31 16
340 0 127 31 16
341 0 127 31 16
342 0 127 31 16
343 0 127 31 16
344 0 127 31 16
345 0 127 31 16
346 0 127 31 16
347 8 7 1 1
348 16 15 3 2
349 54 53 13 11
350 116 115 28 18
351 57 56 14 9
352 109 108 27 22
353 125 124 31 16
354 109 108 27 22
355 81 80 20 30
356 125 124 31 16
357 65 64 16 24
358 9 8 2 3
359 78 77 19 26
360 98 97 24 20
361 56 55 13 11
362 89 88 22 29
363 64 63 15 8
364 115 114 28 18
365 31 30 7 4
366 82 81 20 30
367 112 111 27 22
368 51 50 12 10
369 118 117 29 19
370 57 56 14 9
371 15 14 3 2
372 76 75 18 27
373 5 4 1 1
374 41 40 10 15
375 66 65 16 24
376 123 122 30 17
377 65 64 16 24
378 2 1 0 0
379 81 80 20 30
380 71 70 17 25
381 58 57 14 9
382 49 48 12 10
383 118 117 29 19
384 98 97 24 20
385 96 95 23 28
386 97 96 24 20
387 0 127 31 16
388 112 111 27 22
389 113 112 28 18
390 121 120 30 17
391 41 40 10 15
392 57 56 14 9
393 6 5 1 1
394 107 106 26 23
395 90 89 22 29
396 125 124 31 16
397 62 61 15 8
398 125 124 31 16
399 112 111 27 22
400 21 20 5 7
401 4 3 0 0
402 127 126 31 16
403 27 26 6 5
404 122 121 30 17
405 35 34 8 12
406 36 35 8 12
407 112 111 27 22
408 30 29 7 4
409 96 95 23 28
410 96 95 23 28
411 96 95 23 28
412 96 95 23 28
413 96 95 23 28
414 96 95 23 28
415 96 95 23 28
416 96 95 23 28
417 104 103 25 21
418 112 111 27 22
419 2 1 0 0
420 112 111 27 22
421 26 25 6 5
422 25 24 6 5
423 93 92 23 28
424 93 92 23 28
425 49 48 12 10
426 49 48 12 10
427 93 92 23 28
428 32 31 7 4
429 46 45 11 14
430 66 65 16 24
431 66 65 16 24
432 24 23 5 7
433 57 56 14 9
434 32 31 7 4
435 127 126 31 16
436 127 126 31 16
437 50 49 12 10
438 19 18 4 6
439 18 17 4 6
440 86 85 21 31
441 91 90 22 29
442 111 110 27 22
443 100 99 24 20
444 102 101 25 21
445 9 8 2 3
446 34 33 8 12
447 32 31 7 4
448 33 32 8 12
449 98 97 24 20
450 39 38 9 13
451 26 25 6 5
452 26 25 6 5
453 17 16 4 6
454 66 65 16 24
455 65 64 16 24
456 65 64 16 24
457 65 64 16 24
458 80 79 19 26
459 81 80 20 30
460 54 53 13 11
461 24 23 5 7
462 98 97 24 20
463 8 7 1 1
464 89 88 22 29
465 91 90 22 29
466 120 119 29 19
467 59 58 14 9
468 110 109 27 22
469 6 5 1 1
470 99 98 24 20
471 21 20 5 7
472 121 120 30 17
473 30 29 7 4
474 56 55 13 11
475 78 77 19 26
476 110 109 27 22
477 72 71 17 25
478 45 44 11 14
479 63 62 15 8
480 64 63 15 8
481 64 63 15 8
482 64 63 15 8
483 64 63 15 8
484 64 63 15 8
485 64 63 15 8
486 64 63 15 8
487 64 63 15 8
488 80 79 19 26
489 79 78 19 26
490 108 107 26 23
491 126 125 31 16
492 121 120 30 17
493 45 44 11 14
494 61 60 15 8
495 45 44 11 14
496 17 16 4 6
497 61 60 15 8
498 1 0 0 0
499 73 72 18 27
500 14 13 3 2
501 34 33 8 12
502 120 119 29 19
503 25 24 6 5
504 0 127 31 16
505 51 50 12 10
506 95 94 23 28
507 18 17 4 6
508 48 47 11 14
509 115 114 28 18
510 54 53 13 11
511 121 120 30 17
512 79 78 19 26
513 12 11 2 3
514 69 68 17 25
515 105 104 26 23
516 2 1 0 0
517 59 58 14 9
518 1 0 0 0
519 66 65 16 24
520 17 16 4 6
521 7 6 1 1
522 122 121 30 17
523 113 112 28 18
524 54 53 13 11
525 34 33 8 12
526 32 31 7 4
527 33 32 8 12
528 64 63 15 8
529 48 47 11 14
530 12 11 2 3
531 100 99 24 20
532 12 11 2 3
533 64 63 15 8
534 5 4 1 1
535 11 10 2 3
536 11 10 2 3
537 27 26 6 5
538 95 94 23 28
539 127 126 31 16
540 8 7 1 1
541 4 3 0 0
542 41 40 10 15
543 7 6 1 1
544 8 7 1 1
545 77 76 19 26
546 38 37 9 13
547 17 16 4 6
548 82 81 20 30
549 52 51 12 10
550 32 31 7 4
551 32 31 7 4
552 32 31 7 4
553 32 31 7 4
554 32 31 7 4
555 32 31 7 4
556 32 31 7 4
557 32 31 7 4
558 40 39 9 13
559 48 47 11 14
560 32 31 7 4
561 110 109 27 22
562 89 88 22 29
563 13 12 3 2
564 29 28 7 4
565 13 12 3 2
566 113 112 28 18
567 29 28 7 4
568 97 96 24 20
569 41 40 10 15
570 110 109 27 22
571 2 1 0 0
572 88 87 21 31
573 121 120 30 17
574 96 95 23 28
575 19 18 4 6
576 63 62 15 8
577 114 113 28 18
578 16 15 3 2
579 83 82 20 30
580 22 21 5 7
581 89 88 22 29
582 47 46 11 14
583 108 107 26 23
584 37 36 9 13
585 73 72 18 27
586 98 97 24 20
587 27 26 6 5
588 97 96 24 20
589 34 33 8 12
590 113 112 28 18
591 103 102 25 21
592 90 89 22 29
593 81 80 20 30
594 22 21 5 7
595 2 1 0 0
596 0 127 31 16
597 1 0 0 0
598 32 31 7 4
599 16 15 3 2
600 112 111 27 22
601 10 9 2 3
602 94 93 23 28
603 16 15 3 2
604 4 3 0 0
605 25 24 6 5
606 65 64 16 24
607 16 15 3 2
608 27 26 6 5
609 50 49 12 10
610 35 34 8 12
611 61 60 15 8
612 81 80 20 30
613 3 2 0 0
614 66 65 16 24
615 39 38 9 13
616 52 51 12 10
617 103 102 25 21
618 98 97 24 20
619 13 12 3 2
620 0 127 31 16
621 0 127 31 16
622 0 127 31 16
623 0 127 31 16
624 0 127 31 16
625 0 127 31 16
626 0 127 31 16
627 0 127 31 16
628 8 7 1 1
629 16 15 3 2
630 116 115 28 18
631 66 65 16 24
632 57 56 14 9
633 109 108 27 22
634 125 124 31 16
635 109 108 27 22
636 81 80 20 30
637 125 124 31 16
638 65 64 16 24
639 9 8 2 3
640 78 77 19 26
641 98 97 24 20
642 56 55 13 11
643 89 88 22 29
644 64 63 15 8
645 115 114 28 18
646 31 30 7 4
647 82 81 20 30
648 112 111 27 22
649 51 50 12 10
650 118 117 29 19
651 57 56 14 9
652 15 14 3 2
653 76 75 18 27
654 5 4 1 1
655 41 40 10 15
656 66 65 16 24
657 123 122 30 17
658 65 64 16 24
659 2 1 0 0
660 81 80 20 30
661 71 70 17 25
662 58 57 14 9
663 49 48 12 10
664 118 117 29 19
665 98 97 24 20
666 96 95 23 28
667 97 96 24 20
668 0 127 31 16
669 112 111 27 22
670 112 111 27 22
671 103 102 25 21
672 18 17 4 6
673 83 82 20 30
674 75 74 18 27
675 117 116 29 19
676 10 9 2 3
677 120 119 29 19
678 101 100 25 21
679 37 36 9 13
680 85 84 21 31
681 109 108 27 22
682 59 58 14 9
683 80 79 19 26
684 43 42 10 15
685 88 87 21 31
686 59 58 14 9
687 6 5 1 1
688 108 107 26 23
689 6 5 1 1
690 96 95 23 28
691 96 95 23 28
692 96 95 23 28
693 96 95 23 28
694 96 95 23 28
695 96 95 23 28
696 96 95 23 28
697 96 95 23 28
698 104 103 25 21
699 112 111 27 22
700 66 65 16 24
701 26 25 6 5
702 25 24 6 5
703 25 24 6 5
704 77 76 19 26
705 77 76 19 26
706 77 76 19 26
707 93 92 23 28
708 93 92 23 28
709 105 104 26 23
710 105 104 26 23
711 66 65 16 24
712 24 23 5 7
713 24 23 5 7
714 58 57 14 9
715 32 31 7 4
716 83 82 20 30
717 127 126 31 16
718 80 79 19 26
719 19 18 4 6
720 19 18 4 6
