index,raw_symbol,bin,degray,bits
0,324,325,487,111100111
1,87,88,116,001110100
2,279,280,404,110010100
3,359,360,476,111011100
4,55,56,36,000100100
5,97,98,83,001010011
6,43,44,58,000111010
7,70,71,100,001100100
8,158,159,208,011010000
9,47,48,40,000101000
10,66,67,98,001100010
11,67,68,102,001100110
12,62,63,32,000100000
13,376,377,453,111000101
14,219,220,178,010110010
15,211,212,190,010111110
16,508,509,259,100000011
17,511,0,0,000000000
18,253,254,129,010000001
19,382,383,448,111000000
20,447,448,288,100100000
21,478,479,304,100110000
22,493,494,281,100011001
23,501,502,269,100001101
